Snake Survey Data Sheet,,,,,,,,,,,,,,,,,,,,,,,,
Date,Station,Trail_Walked,Segment,Surveyors,Survey_Start_Time,Survey_End_Time,Reptile_ID,Family,Species,Common_Name,Time_Found_,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Diet_Type,Primary_Diet_Component,Notes
7/3/24,YRS,Ceiba-Peru,PERU-01,"O,M",8:11 PM,11:07 PM,SK13,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:45 PM,S 00°40.6490' W 076°23.6095',Owen,77.3,93.2,2.5,U,Terrafirme,12,cloudy,no wind,no mammals,lizards,
7/4/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,Sophia",8:12 PM,11:00 PM,SK14,Colubridae,Leptodeira approximans,Upper Amazon Cat-eyed Snake,8:48 PM,S 00°40.5370' W 076°24.4967' ,Owen,78.3,87,0.3,U,Terrafirme,6,cloudy,no wind,mixed,frogs,
7/4/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,Sophia",8:12 PM,11:00 PM,SK15,Colubridae,Dipsas pavonina,Northern Snail Eater,9:27 PM,S 00°40.3463' W 076°24.3769',Owen,78.4,94.7,0.5,U,Varzea,6,cloudy,no wind,no mammals,arthropods,
7/6/24,YRS,Forest Plot Perimeter,,"O,A",8:29 PM,11:28 PM,,,,,,,,,,,,,12,clear,no wind,,,
7/8/24,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,,"O,Ethan",8:01 PM,10:53 PM,,,,,,,,,,,,,24,clear,no wind,,,
7/10/24,TBS,Guacamayo-Danta-Lago,,"O,M",8:07 PM,10:58 PM,,,,,,,,,,,,,6,clear,no wind,,,
7/11/24,TBS,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,,"O,T",8:08 PM,10:57 PM,,,,,,,,,,,,,6,partly cloudy,no wind,,,
7/14/24,TBS,Harpia Plot-Harpia,HAPL-01,"O,T",8:51 PM,12:05 AM,SK16,Colubridae,Imantodes lentiferus,Amazon Blunt-headed Tree Snake,10:14 PM,S0° 38.003' W76° 08.195',Owen,77.5,85.5,2.8,U,Terrafirme,12,clear,no wind,no mammals,lizards,
7/14/24,TBS,Harpia Plot-Harpia,HARP-01,"O,T",8:51 PM,12:05 AM,SK17,Colubridae,Oxyrhopus petolarius,Forest Flame Snake,11:48 PM,S0° 38.112' W76° 08.806',Owen,77.4,85.6,2.3,U,Terrafirme,12,clear,no wind,mixed,mixed,
7/14/24,TBS,Harpia Plot-Harpia,HARP-01,"O,T",8:51 PM,12:05 AM,SK18,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,11:52 PM,S0° 38.138' W76° 08.822',Therese,77.4,85.6,1.6,U,Terrafirme,12,clear,no wind,no mammals,lizards,
7/15/24,TBS,Anaconda-Lago,LAGO-02,"O,M",8:14 PM,11:42 PM,SK19,Colubridae,Drepanoides anomalus,Black-collared Snake,9:10 PM,S0° 38.251' W76° 09.759',Owen,75.7,92.4,2.8,U,Varzea,24,clear,no wind,no mammals,eggs,
7/15/24,TBS,Anaconda-Lago,LAGO-02,"O,M",8:14 PM,11:42 PM,SK20,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:02 PM,S0° 38.269' W76° 09.498',Owen,75.1,91.4,0.3,U,Varzea,24,clear,no wind,no mammals,lizards,
7/15/24,TBS,Anaconda-Lago,LAGO-02,"O,M",8:14 PM,11:42 PM,SK21,Colubridae,Chironius fuscus,Brown Sipo,10:12 PM,S0° 38.288' W76° 09.463',Owen,77.7,86.5,0.2,U,Varzea,24,clear,no wind,mixed,frogs,
7/15/24,TBS,Anaconda-Lago,LAGO-02,"O,M",8:14 PM,11:42 PM,SK22,Boidae,Corallus hortulanus,Amazon Tree Boa,10:31 PM,S0° 38.298' W76° 09.380',Mike,76.6,87,8,U,Varzea,24,clear,no wind,mostly mammals,mammals,
7/15/24,TBS,Anaconda-Lago,LAGO-02,"O,M",8:14 PM,11:42 PM,SK23,Boidae,Epicrates cenchria,Western Rainbow Boa,10:58 PM,S0° 38.340' W76° 09.307',Mike,75.9,88.9,2.2,U,Varzea,24,clear,no wind,mostly mammals,mammals,
7/15/24,TBS,Anaconda-Lago,LAGO-02,"O,M",8:14 PM,11:42 PM,SK24,Colubridae,Chironius multiventris,South American Sipo,11:05 PM,S0° 38.341' W76° 09.271',Mike,77.5,84.9,3.5,U,Varzea,24,clear,no wind,no mammals,frogs,
7/17/24,TBS,Puma-Puma Plot,PUMA-01,"O,T",8:14 PM,11:22 PM,SK25,Colubridae,Xenoxybelis argenteus,Striped Sharpnose Snake,8:14 PM,S0° 37.992' W76° 09.323',Owen,74.1,87.4,0.2,U,Terrafirme,6,partly cloudy,no wind,no mammals,lizards,
7/17/24,TBS,Puma-Puma Plot,PUMA-01,"O,T",8:14 PM,11:22 PM,SK26,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:16 PM,S0° 37.986' W76° 09.329',Owen,74.1,87.4,1.7,U,Terrafirme,6,partly cloudy,no wind,no mammals,lizards,
7/17/24,TBS,Puma-Puma Plot,PUPL-01,"O,T",8:14 PM,11:22 PM,SK27,Colubridae,Leptophis cupreus,Copper Parrot Snake,8:58 PM,S0° 37.657' W76° 09.434',Owen,75.3,87.5,0.4,U,Varzea,6,partly cloudy,no wind,no mammals,frogs,
7/17/24,TBS,Puma-Puma Plot,PUPL-02,"O,T",8:14 PM,11:22 PM,SK28,Colubridae,Dipsas pavonina,Northern Snail Eater,9:17 PM,S0° 37.509' W76° 09.441',Owen,74.8,89.7,1,U,Terrafirme,6,partly cloudy,no wind,no mammals,arthropods,
7/17/24,TBS,Puma-Puma Plot,PUPL-04,"O,T",8:14 PM,11:22 PM,SK29,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:07 PM,S0° 37.356' W76° 09.540',Owen,74.1,91,1.6,U,Varzea,6,partly cloudy,no wind,no mammals,lizards,
7/17/24,TBS,Puma-Puma Plot,PUPL-04,"O,T",8:14 PM,11:22 PM,SK30,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:13 PM,S0° 37.363' W76° 09.588',Therese,75.2,90.8,2,U,Varzea,6,partly cloudy,no wind,no mammals,lizards,
7/17/24,TBS,Puma-Puma Plot,PUPL-08,"O,T",8:14 PM,11:22 PM,SK31,Colubridae,Chironius multiventris,South American Sipo,10:43 PM,S0° 37.413' W76° 09.710',Therese,74.6,90.3,0.5,U,Varzea,6,partly cloudy,no wind,no mammals,frogs,
7/18/24,TBS,Harpia Plot-Harpia,HAPL-01,"O,Brian",8:00 PM,10:50 PM,SK32,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:14 PM,S0° 37.993' W76° 08.315',Owen,78,91.5,1.6,U,Terrafirme,24,partly cloudy,felt on face,no mammals,lizards,
7/18/24,TBS,Harpia Plot-Harpia,HARP-01,"O,Brian",8:00 PM,10:50 PM,SK33,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:08 PM,S0° 38.077' W76° 08.750',Brian,76.5,92.2,1.5,U,Terrafirme,24,partly cloudy,felt on face,no mammals,lizards,
7/18/24,TBS,Harpia Plot-Harpia,HARP-01,"O,Brian",8:00 PM,10:50 PM,SK34,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:29 PM,S0° 38.168' W76° 08.826',Owen,77.2,92.9,0.5,U,Terrafirme,24,partly cloudy,felt on face,no mammals,lizards,
7/20/24,TBS,Puma-Puma Plot,PUPL-05,"O,T",8:06 PM,11:51 PM,SK35,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:48 PM,S0° 37.395' W76° 09.666',Owen,74.8,92.1,2.2,U,Varzea,6,cloudy,none,no mammals,lizards,
7/23/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,NAPO-02,"O,T",8:09 PM,10:46 PM,SK36,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:21 PM,S0° 40.510' W76° 24.074',Owen,78.9,88.1,0.2,U,Terrafirme,48,partly cloudy,none,no mammals,lizards,
7/23/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,BOTA-03,"O,T",8:09 PM,10:46 PM,SK37,Colubridae,Drepanoides anomalus,Black-collared Snake,10:27 PM,S0° 40.543' W76° 23.912',Owen,78.4,88.9,0.4,G,Varzea,48,partly cloudy,none,no mammals,eggs,
7/23/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,BOTA-02,"O,T",8:09 PM,10:46 PM,SK38,Colubridae,Xenoxybelis argenteus,Striped Sharpnose Snake,10:38 PM,S0° 40.544' W76° 23.889',Owen,78.4,89.1,1.6,U,Varzea,48,partly cloudy,none,no mammals,lizards,
7/25/24,YRS,Forest Plot North Edge-Forest Plot Interior-Forest Plot North Edge-Torre,FPIN-01,"O,T",8:19 PM,10:44 PM,SK39,Boidae,Corallus hortulanus,Amazon Tree Boa,9:31 PM,S0° 40.908' W76° 23.793',Therese,78.1,89.6,0.2,U,Terrafirme,96,partly cloudy,felt on face,mostly mammals,mammals,
7/26/24,YRS,Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape,KINK-01,"O,A",8:02 PM,10:54 PM,SK40,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:58 PM,S0° 40.310' W76° 24.327',Owen,76.9,93.5,0.3,U,Terrafirme,120,clear,none,no mammals,lizards,
7/26/24,YRS,Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape,YCHO-02,"O,A",8:02 PM,10:54 PM,SK41,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:21 PM,S0° 40.147' W76° 24.330',Owen,77.1,94.6,1.2,U,Terrafirme,120,clear,none,no mammals,lizards,
7/26/24,YRS,Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape,YCHO-02,"O,A",8:02 PM,10:54 PM,SK42,Colubridae,Xenoxybelis argenteus,Striped Sharpnose Snake,9:29 PM,S0° 40.061' W76° 24.323',Owen,77.5,94.8,2.2,U,Terrafirme,120,clear,none,no mammals,lizards,
7/28/24,YRS,Peru-Ceiba,PERU-01,"O,M",8:27 PM,11:31 PM,SK43,Colubridae,Dendrophidion dendrophis,Olive Forest Racer,10:33 PM,S0° 40.645' W76° 23.570',Mike,76.8,87.3,1.5,U,Terrafirme,6,partly cloudy,felt on face,no mammals,frogs,
7/29/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,T",8:20 PM,10:48 PM,SK44,Boidae,Corallus batesii,Bates' Emerald Tree Boa,8:32 PM,S0° 40.677' W76° 24.419',Owen,81.4,86,1,U,Terrafirme,30,clear,none,mostly mammals,mammals,
7/29/24,YRS,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,YCHO-01,"O,T",8:20 PM,10:48 PM,SK45,Colubridae,Leptodeira approximans,Upper Amazon Cat-eyed Snake,8:51 PM,S0° 40.607' W76° 24.463',Owen,81.6,83.1,4.3,U,Terrafirme,30,clear,none,mixed,frogs,
7/31/24,YRS,Torre-Forest Plot North Edge-Forest Plot Interior,TORR-01,"O,M",8:38 PM,11:53 PM,SK46,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:30 PM,S0° 40.823' W76° 23.200',Owen,77.3,93.3,5,U,Terrafirme,54,clear,none,no mammals,lizards,
7/31/24,YRS,Torre-Forest Plot North Edge-Forest Plot Interior,FPIN-01,"O,M",8:38 PM,11:53 PM,SK47,Colubridae,Oxyrhopus vanidicus,Impostor Flame Snake,11:29 PM,S0° 40.935' W76° 24.075',Owen,76.7,93.7,1.7,G,Terrafirme,54,clear,none,mixed,mixed,
8/1/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,TINA-02,"O,T,A",8:07 PM,10:19 PM,SK48,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:16 PM,S0° 40.540' W76° 23.961',Owen,75.9,90.3,0.2,U,Terrafirme,78,clear,none,no mammals,lizards,
8/1/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,TINA-02,"O,T,A",8:07 PM,10:19 PM,SK49,Colubridae,Dendrophidion dendrophis,Olive Forest Racer,8:17 PM,S0° 40.540' W76° 23.968',Therese,75.9,90.3,2.3,U,Terrafirme,78,clear,none,no mammals,frogs,
8/1/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,TINA-02,"O,T,A",8:07 PM,10:19 PM,SK50,Colubridae,Xenoxybelis argenteus,Striped Sharpnose Snake,8:37 PM,S0° 40.631' W76° 24.021',Owen,74.8,93.3,2.8,U,Terrafirme,78,clear,none,no mammals,lizards,
8/1/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,NAPO-02,"O,T,A",8:07 PM,10:19 PM,SK51,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:57 PM,S0° 40.582' W76° 24.109',Owen,74.4,93.6,1,U,Terrafirme,78,clear,none,no mammals,lizards,
8/1/24,YRS,Tinamou-Napo-Pantano-Botanico-Gran Ficus,NAPO-02,"O,T,A",8:07 PM,10:19 PM,SK52,Colubridae,Leptodeira approximans,Upper Amazon Cat-eyed Snake,9:07 PM,S0° 40.527' W76° 24.065',Owen,75.1,92.9,1.6,U,Terrafirme,78,clear,none,mixed,frogs,
