Start_Date,Station,Effort_hrs,Segment,Seg_dist_m,Survey_Type,Parent_Trail_LongName,Height_of_Individual,n_frogs,n_sal,n_liz,n_frogs_hr,n_sal_hr,n_liz_hr,n_frogs_500m,n_sal_500m,n_liz_500m
6/17/2024,TBS,4.116666667,MURC-02,122,Night,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,G,1,0,0,0.24291498,0,0,4.098360656,0,0
7/13/2025,YRS,1.833333333,TIMA-01,128,Night,Botanico-Tinamou-Napo-Timatai-Bariso,G,1,0,0,0.545454545,0,0,3.90625,0,0
7/13/2025,YRS,1.833333333,TIMA-01,128,Night,Botanico-Tinamou-Napo-Timatai-Bariso,U,1,0,0,0.545454545,0,0,3.90625,0,0
7/15/2025,YRS,1.866666667,NAPO-01,135,Afternoon,Napo-Tinamou-Botanico,G,1,0,0,0.535714286,0,0,3.703703704,0,0
7/17/2024,TBS,3.133333333,PUPL-06,139,Night,Puma-Puma Plot,U,1,0,0,0.319148936,0,0,3.597122302,0,0
7/17/2024,TBS,3.133333333,PUPL-08,139,Night,Puma-Puma Plot,U,0,0,1,0,0,0.319148936,0,0,3.597122302
7/20/2024,TBS,3.75,PUPL-06,139,Night,Puma-Puma Plot,G,1,0,0,0.266666667,0,0,3.597122302,0,0
7/20/2024,TBS,3.75,PUPL-06,139,Night,Puma-Puma Plot,U,0,1,0,0,0.266666667,0,0,3.597122302,0
6/23/2025,TBS,2.866666667,PUPL-08,139,Night,Puma-Puma Plot,U,1,0,0,0.348837209,0,0,3.597122302,0,0
6/30/2025,TBS,3.05,PUPL-06,139,Night,Puma-Puma Plot,G,1,0,0,0.327868852,0,0,3.597122302,0,0
7/5/2025,YRS,3.066666667,TIPU-01,141,Night,Coca-Ceiba-Peru-Tiputini-Peru,NA,0,0,0,0,0,0,0,0,0
6/27/2024,YRS,2.95,BOTA-01,142,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.338983051,0,0,3.521126761,0,0
7/13/2025,YRS,1.833333333,BOTA-01,142,Night,Botanico-Tinamou-Napo-Timatai-Bariso,U,1,0,0,0.545454545,0,0,3.521126761,0,0
7/15/2025,YRS,1.866666667,BOTA-01,142,Afternoon,Napo-Tinamou-Botanico,G,1,0,0,0.535714286,0,0,3.521126761,0,0
7/17/2024,TBS,3.133333333,PUPL-07,143,Night,Puma-Puma Plot,G,1,0,0,0.319148936,0,0,3.496503497,0,0
6/23/2025,TBS,2.866666667,PUPL-07,143,Night,Puma-Puma Plot,G,1,0,0,0.348837209,0,0,3.496503497,0,0
6/23/2024,TBS,2.6,PUEN-01,144,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo,G,3,0,0,1.153846154,0,0,10.41666667,0,0
7/8/2024,TBS,2.866666667,PUEN-01,144,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,G,1,0,0,0.348837209,0,0,3.472222222,0,0
6/23/2024,TBS,2.6,MURC-01,156,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo,G,1,0,0,0.384615385,0,0,3.205128205,0,0
6/6/2025,TBS,2.9,MURC-01,156,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,G,2,0,0,0.689655172,0,0,6.41025641,0,0
6/26/2025,TBS,2.833333333,MURC-01,156,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,G,1,0,0,0.352941176,0,0,3.205128205,0,0
6/26/2025,TBS,2.833333333,MURC-01,156,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,U,0,0,1,0,0,0.352941176,0,0,3.205128205
7/8/2025,YRS,2.683333333,NAPO-03,157,Night,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,G,2,0,0,0.745341615,0,0,6.369426752,0,0
7/8/2025,YRS,2.683333333,NAPO-03,157,Night,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,U,1,0,0,0.372670807,0,0,3.184713376,0,0
7/15/2025,YRS,1.866666667,NAPO-03,157,Afternoon,Napo-Tinamou-Botanico,G,3,0,0,1.607142857,0,0,9.554140127,0,0
7/14/2025,YRS,2.366666667,MIRA-03,158,Night,Mirador,U,3,0,0,1.267605634,0,0,9.493670886,0,0
7/17/2024,TBS,3.133333333,PUPL-09,163,Night,Puma-Puma Plot,NA,0,0,0,0,0,0,0,0,0
6/17/2024,TBS,4.116666667,MAPO-02,170,Night,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,G,2,0,0,0.48582996,0,0,5.882352941,0,0
6/17/2024,TBS,4.116666667,MAPO-02,170,Night,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,U,1,0,0,0.24291498,0,0,2.941176471,0,0
6/21/2024,TBS,1.416666667,MAPO-02,170,Night,Matapalo-Harpia,G,1,0,0,0.705882353,0,0,2.941176471,0,0
6/6/2025,TBS,2.9,MAPO-02,170,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,U,1,0,0,0.344827586,0,0,2.941176471,0,0
6/29/2025,TBS,2.916666667,MAPO-02,170,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,U,1,0,0,0.342857143,0,0,2.941176471,0,0
6/11/2025,YRS,2.616666667,FPPE-01,171,Afternoon,Forest Plot Perimeter,U,0,0,1,0,0,0.382165605,0,0,2.923976608
7/7/2025,YRS,2.6,FPPE-01,171,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,U,0,1,0,0,0.384615385,0,0,2.923976608,0
7/12/2025,YRS,1.533333333,FPPE-01,171,Afternoon,Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,G,1,0,0,0.652173913,0,0,2.923976608,0,0
7/28/2024,YRS,3.066666667,PERU-03,175,Night,Peru-Ceiba,U,2,0,0,0.652173913,0,0,5.714285714,0,0
7/5/2025,YRS,3.066666667,PERU-03,175,Night,Coca-Ceiba-Peru-Tiputini-Peru,U,3,0,1,0.97826087,0,0.326086957,8.571428571,0,2.857142857
6/9/2025,YRS,2.8,BARI-02,183,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.357142857,0,0,2.732240437,0,0
6/17/2024,TBS,4.116666667,MANU-01,194,Night,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,G,1,0,0,0.24291498,0,0,2.577319588,0,0
6/29/2025,TBS,2.916666667,MANU-01,194,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,U,1,0,0,0.342857143,0,0,2.577319588,0,0
7/20/2024,TBS,3.75,PUPL-03,210,Night,Puma-Puma Plot,NA,0,0,0,0,0,0,0,0,0
6/23/2025,TBS,2.866666667,PUPL-03,210,Night,Puma-Puma Plot,NA,0,0,0,0,0,0,0,0,0
6/27/2024,YRS,2.95,NAPO-04,220,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.338983051,0,0,2.272727273,0,0
7/4/2024,YRS,2.8,NAPO-04,220,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.357142857,0,0,2.272727273,0,0
7/29/2024,YRS,2.466666667,NAPO-04,220,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,U,1,0,0,0.405405405,0,0,2.272727273,0,0
6/9/2025,YRS,2.8,NAPO-04,220,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.357142857,0,0,2.272727273,0,0
7/15/2025,YRS,1.866666667,NAPO-04,220,Afternoon,Napo-Tinamou-Botanico,G,4,0,0,2.142857143,0,0,9.090909091,0,0
7/26/2024,YRS,2.866666667,GARZ-01,223,Night,Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape,U,2,0,0,0.697674419,0,0,4.484304933,0,0
6/19/2024,TBS,2.866666667,GUAC-01,230,Night,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,G,2,0,0,0.697674419,0,0,4.347826087,0,0
6/19/2024,TBS,2.866666667,GUAC-01,230,Night,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,U,0,0,1,0,0,0.348837209,0,0,2.173913043
7/10/2024,TBS,2.85,GUAC-01,230,Night,Guacamayo-Danta-Lago,U,1,0,0,0.350877193,0,0,2.173913043,0,0
6/7/2025,TBS,2.45,GUAC-01,230,Night,Guacamayo-Danta-Lago,G,2,0,0,0.816326531,0,0,4.347826087,0,0
6/20/2025,TBS,2.733333333,GUAC-01,230,Night,Guacamayo-Puma-Harpia-Chorongo,G,1,0,0,0.365853659,0,0,2.173913043,0,0
6/20/2025,TBS,2.733333333,GUAC-01,230,Night,Guacamayo-Puma-Harpia-Chorongo,U,1,0,0,0.365853659,0,0,2.173913043,0,0
6/29/2024,YRS,3.25,TUCA-01,240,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,U,1,0,0,0.307692308,0,0,2.083333333,0,0
6/12/2025,YRS,2.866666667,TUCA-01,240,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,G,1,0,0,0.348837209,0,0,2.083333333,0,0
6/12/2025,YRS,2.866666667,TUCA-01,240,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,U,1,0,0,0.348837209,0,0,2.083333333,0,0
6/12/2025,YRS,2.866666667,NAPO-05,243,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,G,1,0,0,0.348837209,0,0,2.057613169,0,0
6/12/2025,YRS,2.866666667,NAPO-05,243,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,U,1,0,0,0.348837209,0,0,2.057613169,0,0
7/15/2025,YRS,1.7,NAPO-05,243,Night,Chorongo-Kinkajou-Napo,U,1,0,0,0.588235294,0,0,2.057613169,0,0
7/20/2024,TBS,3.75,PUPL-10,248,Night,Puma-Puma Plot,U,1,0,0,0.266666667,0,0,2.016129032,0,0
6/30/2025,TBS,3.05,PUPL-10,248,Night,Puma-Puma Plot,G,1,0,0,0.327868852,0,0,2.016129032,0,0
6/30/2025,TBS,3.05,PUPL-10,248,Night,Puma-Puma Plot,U,1,0,0,0.327868852,0,0,2.016129032,0,0
6/17/2024,TBS,4.116666667,MAPO-05,250,Night,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,G,1,0,0,0.24291498,0,0,2,0,0
7/3/2024,YRS,2.933333333,PERU-01,250,Night,Ceiba-Peru,C,1,0,0,0.340909091,0,0,2,0,0
7/3/2024,YRS,2.933333333,PERU-01,250,Night,Ceiba-Peru,U,2,1,0,0.681818182,0.340909091,0,4,2,0
7/28/2024,YRS,3.066666667,PERU-01,250,Night,Peru-Ceiba,U,0,0,1,0,0,0.326086957,0,0,2
8/1/2024,YRS,2.2,BOTA-03,250,Night,Tinamou-Napo-Pantano-Botanico-Gran Ficus,U,1,1,0,0.454545455,0.454545455,0,2,2,0
6/6/2025,TBS,2.9,MAPO-05,250,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,G,1,0,0,0.344827586,0,0,2,0,0
6/10/2025,YRS,2.433333333,PERU-01,250,Night,Ceiba-Peru,U,1,0,0,0.410958904,0,0,2,0,0
6/14/2025,YRS,2.6,BOTA-03,250,Night,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,U,1,0,0,0.384615385,0,0,2,0,0
6/26/2025,TBS,2.833333333,MAPO-05,250,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,G,1,0,0,0.352941176,0,0,2,0,0
6/26/2025,TBS,2.833333333,MAPO-05,250,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,U,0,0,2,0,0,0.705882353,0,0,4
7/1/2025,TBS,1.233333333,MAPO-05,250,Afternoon,Matapalo-Chichico-Numa,G,1,0,0,0.810810811,0,0,2,0,0
7/5/2025,YRS,3.066666667,PERU-01,250,Night,Coca-Ceiba-Peru-Tiputini-Peru,U,0,1,0,0,0.326086957,0,0,2,0
7/8/2025,YRS,2.133333333,PERU-01,250,Afternoon,Coca-Ceiba-Peru-Renacuajo-Peru,G,0,0,1,0,0,0.46875,0,0,2
7/15/2025,YRS,1.866666667,BOTA-03,250,Afternoon,Napo-Tinamou-Botanico,G,1,0,0,0.535714286,0,0,2,0,0
7/16/2025,YRS,2.05,PERU-01,250,Night,Coca-Ceiba-Peru-Renacuajo-Mirador,U,0,1,1,0,0.487804878,0.487804878,0,2,2
7/3/2024,YRS,2.933333333,PERU-04,259,Night,Ceiba-Peru,C,1,0,0,0.340909091,0,0,1.930501931,0,0
6/10/2025,YRS,2.433333333,PERU-04,259,Night,Ceiba-Peru,U,0,1,1,0,0.410958904,0.410958904,0,1.930501931,1.930501931
7/5/2025,YRS,3.066666667,PERU-04,259,Night,Coca-Ceiba-Peru-Tiputini-Peru,U,2,0,0,0.652173913,0,0,3.861003861,0,0
6/26/2025,TBS,2.833333333,NUMA-02,268,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,G,1,0,0,0.352941176,0,0,1.865671642,0,0
6/26/2025,TBS,2.833333333,NUMA-02,268,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,U,1,0,2,0.352941176,0,0.705882353,1.865671642,0,3.731343284
6/29/2025,TBS,2.916666667,NUMA-02,268,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,U,2,0,0,0.685714286,0,0,3.731343284,0,0
7/17/2024,TBS,3.133333333,PUPL-01,270,Night,Puma-Puma Plot,U,1,0,0,0.319148936,0,0,1.851851852,0,0
6/23/2025,TBS,2.866666667,PUPL-01,270,Night,Puma-Puma Plot,G,1,0,0,0.348837209,0,0,1.851851852,0,0
6/30/2025,TBS,3.05,PUPL-01,270,Night,Puma-Puma Plot,U,1,0,0,0.327868852,0,0,1.851851852,0,0
6/29/2024,YRS,3.25,GAWA-01,272,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,G,1,0,0,0.307692308,0,0,1.838235294,0,0
7/26/2024,YRS,2.866666667,GAWA-01,272,Night,Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape,G,2,0,0,0.697674419,0,0,3.676470588,0,0
6/12/2025,YRS,2.866666667,GAWA-01,272,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,G,1,0,0,0.348837209,0,0,1.838235294,0,0
6/16/2025,YRS,0.966666667,RENA-01,272,Afternoon,Ceiba-Peru-Renacuajo-Mirador,G,1,0,0,1.034482759,0,0,1.838235294,0,0
7/8/2025,YRS,2.133333333,RENA-01,272,Afternoon,Coca-Ceiba-Peru-Renacuajo-Peru,G,2,0,1,0.9375,0,0.46875,3.676470588,0,1.838235294
7/11/2025,YRS,2.433333333,GAWA-01,272,Night,Gawape-Chorongo-Kinkajou,G,2,0,0,0.821917808,0,0,3.676470588,0,0
7/11/2025,YRS,2.433333333,GAWA-01,272,Night,Gawape-Chorongo-Kinkajou,U,3,0,1,1.232876712,0,0.410958904,5.514705882,0,1.838235294
7/14/2025,YRS,1.75,GAWA-01,272,Afternoon,Gawape-Chorongo,G,2,0,0,1.142857143,0,0,3.676470588,0,0
7/16/2025,YRS,2.05,RENA-01,272,Night,Coca-Ceiba-Peru-Renacuajo-Mirador,U,2,1,0,0.975609756,0.487804878,0,3.676470588,1.838235294,0
6/19/2024,TBS,2.866666667,GUAC-03,279,Night,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,U,1,0,0,0.348837209,0,0,1.792114695,0,0
7/11/2024,TBS,2.816666667,GUAC-03,279,Night,Guacamayo-Puma-Harpia-Chorongo-Guacamayo,U,0,0,1,0,0,0.355029586,0,0,1.792114695
6/28/2025,TBS,2.316666667,GUAC-03,279,Night,Guacamayo-Puma-Harpia-Chorongo,U,3,0,0,1.294964029,0,0,5.376344086,0,0
7/6/2025,YRS,2.416666667,GARZ-02,282,Night,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,NA,0,0,0,0,0,0,0,0,0
7/8/2024,TBS,2.866666667,NUMA-01,290,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,G,1,0,0,0.348837209,0,0,1.724137931,0,0
6/3/2025,TBS,2.266666667,NUMA-01,290,Night,Numa-Chichico,G,2,0,0,0.882352941,0,0,3.448275862,0,0
6/3/2025,TBS,2.266666667,NUMA-01,290,Night,Numa-Chichico,U,0,0,1,0,0,0.441176471,0,0,1.724137931
6/29/2025,TBS,2.916666667,NUMA-01,290,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,G,1,0,0,0.342857143,0,0,1.724137931,0,0
7/1/2025,TBS,1.233333333,NUMA-01,290,Afternoon,Matapalo-Chichico-Numa,G,1,0,0,0.810810811,0,0,1.724137931,0,0
7/15/2025,YRS,1.7,NAPO-06,290,Night,Chorongo-Kinkajou-Napo,U,4,1,0,2.352941176,0.588235294,0,6.896551724,1.724137931,0
7/25/2024,YRS,2.416666667,FPPE-05,291,Night,Forest Plot North Edge-Forest Plot Interior-Forest Plot North Edge-Torre,U,0,0,1,0,0,0.413793103,0,0,1.718213058
6/15/2025,YRS,2.833333333,FPPE-05,291,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,U,2,3,1,0.705882353,1.058823529,0.352941176,3.436426117,5.154639175,1.718213058
6/17/2025,YRS,3.3,FPPE-05,291,Night,Forest Plot Perimeter,U,0,1,0,0,0.303030303,0,0,1.718213058,0
7/4/2025,YRS,3.3,FPPE-05,291,Night,Forest Plot Perimeter,G,3,0,0,0.909090909,0,0,5.154639175,0,0
7/4/2025,YRS,3.3,FPPE-05,291,Night,Forest Plot Perimeter,U,9,10,4,2.727272727,3.03030303,1.212121212,15.46391753,17.18213058,6.872852234
7/7/2025,YRS,2.6,FPPE-05,291,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,U,0,1,0,0,0.384615385,0,0,1.718213058,0
7/3/2024,YRS,2.933333333,PERU-05,301,Night,Ceiba-Peru,G,2,0,0,0.681818182,0,0,3.322259136,0,0
7/3/2024,YRS,2.933333333,PERU-05,301,Night,Ceiba-Peru,U,3,0,0,1.022727273,0,0,4.983388704,0,0
7/10/2024,TBS,2.85,GUAC-02,301,Night,Guacamayo-Danta-Lago,U,1,0,0,0.350877193,0,0,1.661129568,0,0
7/28/2024,YRS,3.066666667,PERU-05,301,Night,Peru-Ceiba,U,2,2,0,0.652173913,0.652173913,0,3.322259136,3.322259136,0
6/7/2025,TBS,2.45,GUAC-02,301,Night,Guacamayo-Danta-Lago,G,1,0,0,0.408163265,0,0,1.661129568,0,0
6/10/2025,YRS,2.433333333,PERU-05,301,Night,Ceiba-Peru,G,1,0,0,0.410958904,0,0,1.661129568,0,0
6/10/2025,YRS,2.433333333,PERU-05,301,Night,Ceiba-Peru,U,1,0,0,0.410958904,0,0,1.661129568,0,0
6/21/2025,TBS,1.216666667,GUAC-02,301,Afternoon,Guacamayo-Danta-Lago,G,1,0,0,0.821917808,0,0,1.661129568,0,0
7/5/2025,YRS,3.066666667,COCA-01,301,Night,Coca-Ceiba-Peru-Tiputini-Peru,U,2,0,0,0.652173913,0,0,3.322259136,0,0
7/5/2025,YRS,3.066666667,PERU-05,301,Night,Coca-Ceiba-Peru-Tiputini-Peru,G,2,0,0,0.652173913,0,0,3.322259136,0,0
7/8/2025,YRS,2.133333333,COCA-01,301,Afternoon,Coca-Ceiba-Peru-Renacuajo-Peru,G,6,0,0,2.8125,0,0,9.966777409,0,0
7/16/2025,YRS,2.05,COCA-01,301,Night,Coca-Ceiba-Peru-Renacuajo-Mirador,U,2,0,0,0.975609756,0,0,3.322259136,0,0
6/29/2024,YRS,3.25,KINK-01,321,Night,Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza,G,1,0,0,0.307692308,0,0,1.557632399,0,0
7/26/2024,YRS,2.866666667,KINK-01,321,Night,Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape,U,1,0,0,0.348837209,0,0,1.557632399,0,0
7/29/2024,YRS,2.466666667,KINK-01,321,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.405405405,0,0,1.557632399,0,0
7/29/2024,YRS,2.466666667,KINK-01,321,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,U,1,0,0,0.405405405,0,0,1.557632399,0,0
6/9/2025,YRS,2.8,KINK-01,321,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.357142857,0,0,1.557632399,0,0
6/9/2025,YRS,2.8,KINK-01,321,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,U,1,0,0,0.357142857,0,0,1.557632399,0,0
7/15/2025,YRS,1.7,KINK-01,321,Night,Chorongo-Kinkajou-Napo,U,1,1,0,0.588235294,0.588235294,0,1.557632399,1.557632399,0
7/20/2024,TBS,3.75,PUPL-11,324,Night,Puma-Puma Plot,G,1,0,0,0.266666667,0,0,1.543209877,0,0
6/27/2024,YRS,2.95,BARI-01,340,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.338983051,0,0,1.470588235,0,0
7/4/2024,YRS,2.8,BARI-01,340,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.357142857,0,0,1.470588235,0,0
7/29/2024,YRS,2.466666667,BARI-01,340,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.405405405,0,0,1.470588235,0,0
6/9/2025,YRS,2.8,BARI-01,340,Night,Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico,G,1,0,0,0.357142857,0,0,1.470588235,0,0
7/13/2025,YRS,1.833333333,BARI-01,340,Night,Botanico-Tinamou-Napo-Timatai-Bariso,U,1,0,1,0.545454545,0,0.545454545,1.470588235,0,1.470588235
6/17/2024,TBS,4.116666667,MAPO-06,359,Night,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,G,2,0,0,0.48582996,0,0,2.78551532,0,0
7/8/2024,TBS,2.866666667,MAPO-06,359,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,G,1,0,0,0.348837209,0,0,1.39275766,0,0
6/6/2025,TBS,2.9,MAPO-06,359,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,G,2,0,0,0.689655172,0,0,2.78551532,0,0
6/6/2025,TBS,2.9,MAPO-06,359,Night,Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa,U,0,0,1,0,0,0.344827586,0,0,1.39275766
6/29/2025,TBS,2.916666667,MAPO-06,359,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,G,1,0,0,0.342857143,0,0,1.39275766,0,0
6/29/2025,TBS,2.916666667,MAPO-06,359,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,U,0,0,1,0,0,0.342857143,0,0,1.39275766
6/17/2024,TBS,4.116666667,MAPO-04,387,Night,Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo,G,2,0,0,0.48582996,0,0,2.583979328,0,0
