"Date","Survey_Type","Survey_Start_Time","Survey_End_Time","Gross_ID","Family","Species","Genus","Habitat_Type","Common_Name","Animal_ID","Station","Segment","Parent_Trail_LongName","Height_of_Individual","Start_Date_Start_Time","End_Date","End_Date_End_Time","Effort_hrs","Start_Date","Seg_dist_m"
"2025-06-04","Night","8:12 PM","10:32 PM","Frog","Hylidae","fuscifacies","Osteocephalus","Varzea","Tan-faced Spiny-backed Frog","FG256","TBS","LAGO-02","Anaconda-Lago","U","2025-06-04 20:12:00","2025-06-04","2025-06-04 22:32:00",2.33333333333333,"2025-06-04",1450
"2025-06-04","Night","8:12 PM","10:32 PM","Lizard","Tropiduridae","plica","Plica","Varzea","Collared Treerunner","LZ50","TBS","LAGO-02","Anaconda-Lago","U","2025-06-04 20:12:00","2025-06-04","2025-06-04 22:32:00",2.33333333333333,"2025-06-04",1450
"2025-06-04","Night","8:12 PM","10:32 PM","Frog","Hylidae","yasuni","Osteocephalus","Varzea","Yasuni Spiny-backed Treefrog","FG257","TBS","LAGO-02","Anaconda-Lago","U","2025-06-04 20:12:00","2025-06-04","2025-06-04 22:32:00",2.33333333333333,"2025-06-04",1450
"2024-06-05","Afternoon","2:20 PM","3:57 PM","Frog","Bufonidae","margaritifera","Rhinella","Terrafirme","South American Common Toad","FG258","TBS","TCHO-02","Chorongo-Mata Mata","G","2024-06-05 14:20:00","2024-06-05","2024-06-05 15:57:00",1.61666666666667,"2024-06-05",830
"2024-06-05","Afternoon","2:20 PM","3:57 PM","Frog","Bufonidae","margaritifera","Rhinella","Terrafirme","South American Common Toad","FG259","TBS","TCHO-02","Chorongo-Mata Mata","G","2024-06-05 14:20:00","2024-06-05","2024-06-05 15:57:00",1.61666666666667,"2024-06-05",830
"2024-06-05","Afternoon","2:20 PM","3:57 PM","Frog","Aromobatidae","femoralis","Allobates","Terrafirme","Spotted-thighed Poison Frog","FG260","TBS","TCHO-02","Chorongo-Mata Mata","G","2024-06-05 14:20:00","2024-06-05","2024-06-05 15:57:00",1.61666666666667,"2024-06-05",830
"2024-06-05","Afternoon","2:20 PM","3:57 PM","Frog","Bufonidae","margaritifera","Rhinella","Terrafirme","South American Common Toad","FG261","TBS","TCHO-02","Chorongo-Mata Mata","G","2024-06-05 14:20:00","2024-06-05","2024-06-05 15:57:00",1.61666666666667,"2024-06-05",830
"2024-06-05","Afternoon","2:20 PM","3:57 PM","Lizard","Teiidae","pelviceps","Kentropyx","Terrafirme","Forest Whiptail","LZ51","TBS","TCHO-02","Chorongo-Mata Mata","G","2024-06-05 14:20:00","2024-06-05","2024-06-05 15:57:00",1.61666666666667,"2024-06-05",830
"2024-06-05","Afternoon","2:20 PM","3:57 PM","Frog","Aromobatidae","femoralis","Allobates","Terrafirme","Spotted-thighed Poison Frog","FG262","TBS","TCHO-02","Chorongo-Mata Mata","G","2024-06-05 14:20:00","2024-06-05","2024-06-05 15:57:00",1.61666666666667,"2024-06-05",830
"2024-06-05","Afternoon","2:20 PM","3:57 PM","Lizard","Teiidae","pelviceps","Kentropyx","Terrafirme","Forest Whiptail","LZ52","TBS","TCHO-02","Chorongo-Mata Mata","G","2024-06-05 14:20:00","2024-06-05","2024-06-05 15:57:00",1.61666666666667,"2024-06-05",830
"2024-06-05","Afternoon","2:20 PM","3:57 PM","Lizard","Teiidae","pelviceps","Kentropyx","Varzea","Forest Whiptail","LZ53","TBS","MATA-01","Chorongo-Mata Mata","G","2024-06-05 14:20:00","2024-06-05","2024-06-05 15:57:00",1.61666666666667,"2024-06-05",1030
"2024-06-05","Afternoon","2:20 PM","3:57 PM","Lizard","Teiidae","pelviceps","Kentropyx","Varzea","Forest Whiptail","LZ54","TBS","MATA-01","Chorongo-Mata Mata","G","2024-06-05 14:20:00","2024-06-05","2024-06-05 15:57:00",1.61666666666667,"2024-06-05",1030
"2025-06-06","Night","8:08 PM","11:02 PM","Frog","Hylidae",NA,"Osteocephalus","Terrafirme","Broad-headed Treefrogs","FG263","TBS","MAPO-02","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","U","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",170
"2025-06-06","Night","8:08 PM","11:02 PM","Frog","Craugastoridae","quixensis","Oreobates","Terrafirme","Common Big-headed Frog","FG264","TBS","MAPO-03","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","G","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",388
"2025-06-06","Night","8:08 PM","11:02 PM","Salamander","Plethodontidae","altamazonica","Bolitoglossa","Terrafirme","Amazon Climbing Salamander","SL24","TBS","MAPO-03","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","U","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",388
"2025-06-06","Night","8:08 PM","11:02 PM","Lizard","Anolidae","fuscoauratus","Anolis","Terrafirme","Brown-eared Anole","LZ55","TBS","MAPO-03","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","U","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",388
"2025-06-06","Night","8:08 PM","11:02 PM","Salamander","Plethodontidae","altamazonica","Bolitoglossa","Terrafirme","Amazon Climbing Salamander","SL25","TBS","MAPO-03","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","U","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",388
"2025-06-06","Night","8:08 PM","11:02 PM","Frog","Hylidae","taurinus","Osteocephalus","Terrafirme","Manaus Spiny-backed Treefrog","FG265","TBS","MAPO-03","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","U","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",388
"2025-06-06","Night","8:08 PM","11:02 PM","Frog","Craugastoridae","quixensis","Oreobates","Terrafirme","Common Big-headed Frog","FG266","TBS","MURC-01","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","G","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",156
"2025-06-06","Night","8:08 PM","11:02 PM","Frog","Craugastoridae","quixensis","Oreobates","Terrafirme","Common Big-headed Frog","FG267","TBS","MURC-01","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","G","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",156
"2025-06-06","Night","8:08 PM","11:02 PM","Frog","Craugastoridae",NA,"Pristimantis","Terrafirme","Rain and Robber Frogs","FG268","TBS","MAPO-04","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","U","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",387
"2025-06-06","Night","8:08 PM","11:02 PM","Frog","Bufonidae","margaritifera","Rhinella","Varzea","South American Common Toad","FG269","TBS","MAPO-05","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","G","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",250
"2025-06-06","Night","8:08 PM","11:02 PM","Lizard","Hoplocercidae","laticeps","Enyalioides","Terrafirme","Broad-headed Wood Lizard","LZ56","TBS","MAPO-06","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","U","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",359
"2025-06-06","Night","8:08 PM","11:02 PM","Frog","Bufonidae","margaritifera","Rhinella","Terrafirme","South American Common Toad","FG270","TBS","MAPO-06","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","G","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",359
"2025-06-06","Night","8:08 PM","11:02 PM","Frog","Craugastoridae","quixensis","Oreobates","Terrafirme","Common Big-headed Frog","FG271","TBS","MAPO-06","Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa","G","2025-06-06 20:08:00","2025-06-06","2025-06-06 23:02:00",2.9,"2025-06-06",359
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Craugastoridae","quixensis","Oreobates","Terrafirme","Common Big-headed Frog","FG272","TBS","GUAC-01","Guacamayo-Danta-Lago","G","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",230
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Leptodactylidae","pentadactylus","Leptodactylus","Terrafirme","Smoky Jungle Frog","FG273","TBS","GUAC-01","Guacamayo-Danta-Lago","G","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",230
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Craugastoridae","quixensis","Oreobates","Terrafirme","Common Big-headed Frog","FG274","TBS","GUAC-02","Guacamayo-Danta-Lago","G","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",301
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Hylidae","taurinus","Osteocephalus","Terrafirme","Manaus Spiny-backed Treefrog","FG275","TBS","DANT-01","Guacamayo-Danta-Lago","U","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",591
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Hylidae","yasuni","Osteocephalus","Terrafirme","Yasuni Spiny-backed Treefrog","FG276","TBS","DANT-01","Guacamayo-Danta-Lago","U","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",591
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Bufonidae","margaritifera","Rhinella","Terrafirme","South American Common Toad","FG277","TBS","DANT-01","Guacamayo-Danta-Lago","U","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",591
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Hylidae",NA,"Osteocephalus","Varzea","Broad-headed Treefrogs","FG278","TBS","DANT-01","Guacamayo-Danta-Lago","U","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",591
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Leptodactylidae","pentadactylus","Leptodactylus","Varzea","Smoky Jungle Frog","FG279","TBS","DANT-01","Guacamayo-Danta-Lago","G","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",591
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Hylidae",NA,"Osteocephalus","Varzea","Broad-headed Treefrogs","FG280","TBS","DANT-01","Guacamayo-Danta-Lago","U","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",591
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Hylidae","yasuni","Osteocephalus","Varzea","Yasuni Spiny-backed Treefrog","FG281","TBS","LAGO-01","Guacamayo-Danta-Lago","U","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",719
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Leptodactylidae","pentadactylus","Leptodactylus","Varzea","Smoky Jungle Frog","FG282","TBS","LAGO-01","Guacamayo-Danta-Lago","G","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",719
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Leptodactylidae","pentadactylus","Leptodactylus","Varzea","Smoky Jungle Frog","FG283","TBS","LAGO-01","Guacamayo-Danta-Lago","G","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",719
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Bufonidae","marina","Rhinella","Varzea","Cane Toad","FG284","TBS","LAGO-01","Guacamayo-Danta-Lago","G","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",719
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Hylidae","bifurcus","Dendropsophus","Varzea","Upper Amazon Tree Frog","FG285","TBS","LAGO-01","Guacamayo-Danta-Lago","U","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",719
"2025-06-07","Night","7:59 PM","10:26 PM","Frog","Hylidae","bifurcus","Dendropsophus","Varzea","Upper Amazon Tree Frog","FG286","TBS","LAGO-01","Guacamayo-Danta-Lago","U","2025-06-07 19:59:00","2025-06-07","2025-06-07 22:26:00",2.45,"2025-06-07",719
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Lizard","Anolidae","scypheus","Anolis","Varzea","Yellow-tongued Anole","LZ57","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Frog","Aromobatidae","femoralis","Allobates","Varzea","Spotted-thighed Poison Frog","FG287","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Lizard","Alopoglossidae","atriventris","Alopoglossus","Varzea","Keel-bellied Shade Lizard","LZ58","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Frog","Craugastoridae",NA,"Pristimantis","Varzea","Rain and Robber Frogs","FG288","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Frog","Leptodactylidae","petersi","Engystomops","Terrafirme","Painted Forest Toadlet","FG289","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Frog","Leptodactylidae","petersi","Engystomops","Terrafirme","Painted Forest Toadlet","FG290","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Frog","Aromobatidae","femoralis","Allobates","Varzea","Spotted-thighed Poison Frog","FG291","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Lizard","Anolidae","scypheus","Anolis","Varzea","Yellow-tongued Anole","LZ59","TBS","PARA-01","Parahuaco","U","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Lizard","Alopoglossidae","atriventris","Alopoglossus","Varzea","Keel-bellied Shade Lizard","LZ60","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Frog","Aromobatidae","femoralis","Allobates","Varzea","Spotted-thighed Poison Frog","FG292","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Frog","Bufonidae","margaritifera","Rhinella","Varzea","South American Common Toad","FG293","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Lizard","Anolidae","scypheus","Anolis","Varzea","Yellow-tongued Anole","LZ61","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-08","Afternoon","1:47 PM","4:03 PM","Frog","Aromobatidae","femoralis","Allobates","Varzea","Spotted-thighed Poison Frog","FG294","TBS","PARA-01","Parahuaco","G","2025-06-08 13:47:00","2025-06-08","2025-06-08 16:03:00",2.26666666666667,"2025-06-08",3522
"2025-06-09","Night","8:15 PM","11:03 PM","Lizard","Tropiduridae","plica","Plica","Terrafirme","Collared Treerunner","LZ62","YRS","YCHO-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","U","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",1230
"2025-06-09","Night","8:15 PM","11:03 PM","Frog","Leptodactylidae","perezi","Edalorhina","Varzea","Perez's Snouted Frog","FG295","YRS","YCHO-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","G","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",1230
"2025-06-09","Night","8:15 PM","11:03 PM","Lizard","Phyllodactylidae","solimoensis","Thecadactylus","Terrafirme","Turniptail Gecko","LZ63","YRS","YCHO-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","U","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",1230
"2025-06-09","Night","8:15 PM","11:03 PM","Frog","Hylidae",NA,"Osteocephalus","Varzea","Broad-headed Treefrogs","FG296","YRS","YCHO-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","U","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",1230
"2025-06-09","Night","8:15 PM","11:03 PM","Salamander","Plethodontidae","altamazonica","Bolitoglossa","Varzea","Amazon Climbing Salamander","SL26","YRS","YCHO-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","U","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",1230
"2025-06-09","Night","8:15 PM","11:03 PM","Frog","Leptodactylidae","pentadactylus","Leptodactylus","Terrafirme","Smoky Jungle Frog","FG297","YRS","KINK-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","G","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",321
"2025-06-09","Night","8:15 PM","11:03 PM","Frog","Craugastoridae","kichwarum","Pristimantis","Terrafirme","Jatun Sacha Rain Frog","FG298","YRS","KINK-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","U","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",321
"2025-06-09","Night","8:15 PM","11:03 PM","Frog","Leptodactylidae","andreae","Adenomera","Varzea","Cocha Chirping Frog","FG299","YRS","NAPO-04","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","G","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",220
"2025-06-09","Night","8:15 PM","11:03 PM","Frog","Hylidae","yasuni","Osteocephalus","Terrafirme","Yasuni Spiny-backed Treefrog","FG300","YRS","BARI-02","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","G","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",183
"2025-06-09","Night","8:15 PM","11:03 PM","Frog","Leptodactylidae","andreae","Adenomera","Varzea","Cocha Chirping Frog","FG301","YRS","BARI-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","G","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",340
"2025-06-09","Night","8:15 PM","11:03 PM","Frog","Pipidae","pipa","Pipa","Varzea","Suriname Toad","FG302","YRS","TINA-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","G","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",65
"2025-06-09","Night","8:15 PM","11:03 PM","Frog","Hylidae","lanciformis","Boana","Varzea","Basin Tree Frog","FG303","YRS","TINA-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","U","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",65
"2025-06-09","Night","8:15 PM","11:03 PM","Frog","Hylidae","lanciformis","Boana","Varzea","Basin Tree Frog","FG304","YRS","TINA-01","Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico","U","2025-06-09 20:15:00","2025-06-09","2025-06-09 23:03:00",2.8,"2025-06-09",65
"2025-06-10","Night","8:07 PM","10:33 PM","Lizard","Anolidae","fuscoauratus","Anolis","Terrafirme","Brown-eared Anole","LZ64","YRS","CEIB-01","Ceiba-Peru","U","2025-06-10 20:07:00","2025-06-10","2025-06-10 22:33:00",2.43333333333333,"2025-06-10",490
"2025-06-10","Night","8:07 PM","10:33 PM","Frog","Leptodactylidae","lineatus","Lithodytes","Terrafirme","Painted Antnest Frog","FG305","YRS","CEIB-01","Ceiba-Peru","G","2025-06-10 20:07:00","2025-06-10","2025-06-10 22:33:00",2.43333333333333,"2025-06-10",490
"2025-06-10","Night","8:07 PM","10:33 PM","Frog","Bufonidae","margaritifera","Rhinella","Terrafirme","South American Common Toad","FG306","YRS","CEIB-01","Ceiba-Peru","U","2025-06-10 20:07:00","2025-06-10","2025-06-10 22:33:00",2.43333333333333,"2025-06-10",490
"2025-06-10","Night","8:07 PM","10:33 PM","Frog","Hylidae","appendiculata","Boana","Terrafirme","Canelos Treefrog","FG307","YRS","CEIB-01","Ceiba-Peru","U","2025-06-10 20:07:00","2025-06-10","2025-06-10 22:33:00",2.43333333333333,"2025-06-10",490
"2025-06-10","Night","8:07 PM","10:33 PM","Frog","Hylidae",NA,"Boana","Terrafirme","Gladiator Treefrogs","FG308","YRS","PERU-01","Ceiba-Peru","U","2025-06-10 20:07:00","2025-06-10","2025-06-10 22:33:00",2.43333333333333,"2025-06-10",250
"2025-06-10","Night","8:07 PM","10:33 PM","Frog","Hylidae","yasuni","Osteocephalus","Terrafirme","Yasuni Spiny-backed Treefrog","FG309","YRS","PERU-02","Ceiba-Peru","U","2025-06-10 20:07:00","2025-06-10","2025-06-10 22:33:00",2.43333333333333,"2025-06-10",738
