Start_Date,End_Date,Station,Parent_Trail_LongName,Segment,Survey_Start_Time,Survey_End_Time,Surveyors,Parent_Trail,Seg_dist_m,Snake_ID,Distance_From_Trail_m,Diet_Type,Diet_Type_3categories,Family,Genus,Species,Common_Name,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection
7/13/2025,7/13/2025,YRS,Botanico-Tinamou-Napo-Timatai-Bariso,BARI-01,8:51 PM,10:41 PM,"O,J,JP,Dillon",Bariso,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/2025,7/11/2025,YRS,Gawape-Chorongo-Kinkajou,GAWA-01,8:14 PM,10:40 PM,"O,J,JP",Gawape,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/2025,7/11/2025,YRS,Gawape-Chorongo-Kinkajou,GAWA-02,8:14 PM,10:40 PM,"O,J,JP",Gawape,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/2025,7/11/2025,YRS,Gawape-Chorongo-Kinkajou,GAWA-03,8:14 PM,10:40 PM,"O,J,JP",Gawape,692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/2025,7/11/2025,YRS,Gawape-Chorongo-Kinkajou,YCHO-02,8:14 PM,10:40 PM,"O,J,JP",Chorongo,691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/11/2025,7/11/2025,YRS,Gawape-Chorongo-Kinkajou,KINK-01,8:14 PM,10:40 PM,"O,J,JP",Kinkajou,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/9/2025,7/9/2025,YRS,Coca-Ceiba,COCA-01,8:45 PM,9:34 PM,"O,J",Coca,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,NAPO-01,8:18 PM,10:59 PM,"O,J,JP",Napo,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,NAPO-02,8:18 PM,10:59 PM,"O,J,JP",Napo,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,NAPO-03,8:18 PM,10:59 PM,"O,J,JP",Napo,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,BARI-02,8:18 PM,10:59 PM,"O,J,JP",Bariso,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,TIMA-01,8:18 PM,10:59 PM,"O,J,JP",Timatai,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,TINA-01,8:18 PM,10:59 PM,"O,J,JP",Tinamou,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,BOTA-02,8:18 PM,10:59 PM,"O,J,JP",Botanico,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,BOTA-03,8:18 PM,10:59 PM,"O,J,JP",Botanico,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,GRFI-01,8:18 PM,10:59 PM,"O,J,JP",Gran Ficus,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/8/2025,7/8/2025,YRS,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,BOTA-01,8:18 PM,10:59 PM,"O,J,JP",Botanico,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/7/2025,7/7/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,TORR-01,8:26 PM,11:02 PM,"O,J,JP",Torre,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/7/2025,7/7/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,FPPE-06,8:26 PM,11:02 PM,"O,J,JP",Forest Plot Perimeter,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/7/2025,7/7/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,FPPE-03,8:26 PM,11:02 PM,"O,J,JP",Forest Plot Perimeter,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/7/2025,7/7/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,FPPE-05,8:26 PM,11:02 PM,"O,J,JP",Forest Plot Perimeter,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/7/2025,7/7/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,FPPE-01,8:26 PM,11:02 PM,"O,J,JP",Forest Plot Perimeter,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/6/2025,7/6/2025,YRS,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,KINK-01,8:13 PM,10:38 PM,"O,J,JP",Kinkajou,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/6/2025,7/6/2025,YRS,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,TUCA-01,8:13 PM,10:38 PM,"O,J,JP",Tucan,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/6/2025,7/6/2025,YRS,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,GARZ-02,8:13 PM,10:38 PM,"O,J,JP",Garza,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/6/2025,7/6/2025,YRS,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,NAPO-06,8:13 PM,10:38 PM,"O,J,JP",Napo,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2025,7/5/2025,YRS,Coca-Ceiba-Peru-Tiputini-Peru,CEIB-02,8:26 PM,11:30 PM,"O,J,JP",Ceiba,463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2025,7/5/2025,YRS,Coca-Ceiba-Peru-Tiputini-Peru,PERU-01,8:26 PM,11:30 PM,"O,J,JP",Peru,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2025,7/5/2025,YRS,Coca-Ceiba-Peru-Tiputini-Peru,PERU-02,8:26 PM,11:30 PM,"O,J,JP",Peru,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2025,7/5/2025,YRS,Coca-Ceiba-Peru-Tiputini-Peru,PERU-03,8:26 PM,11:30 PM,"O,J,JP",Peru,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2025,7/5/2025,YRS,Coca-Ceiba-Peru-Tiputini-Peru,TIPU-01,8:26 PM,11:30 PM,"O,J,JP",Tiputini,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2025,7/5/2025,YRS,Coca-Ceiba-Peru-Tiputini-Peru,PERU-04,8:26 PM,11:30 PM,"O,J,JP",Peru,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/5/2025,7/5/2025,YRS,Coca-Ceiba-Peru-Tiputini-Peru,PERU-05,8:26 PM,11:30 PM,"O,J,JP",Peru,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/4/2025,7/4/2025,YRS,Forest Plot Perimeter,FPPE-03,8:21 PM,11:39 PM,"O,J,JP",Forest Plot Perimeter,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/4/2025,7/4/2025,YRS,Forest Plot Perimeter,FPPE-02,8:21 PM,11:39 PM,"O,J,JP",Forest Plot Perimeter,2520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/2/2025,7/2/2025,TBS,Anaconda-Lago,LAGO-02,8:06 PM,10:53 PM,"O,J,JP",Lago,1450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/2/2025,7/2/2025,TBS,Anaconda-Lago,LAGO-01,8:06 PM,10:53 PM,"O,J,JP",Lago,719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2025,7/1/2025,TBS,Harpia Plot-Harpia,HAPL-01,8:48 PM,11:22 PM,"O,J,JP",Harpia Plot,2220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2025,7/1/2025,TBS,Harpia Plot-Harpia,HARP-01,8:48 PM,11:22 PM,"O,J,JP",Harpia,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2025,6/30/2025,TBS,Puma-Puma Plot,PUMA-01,8:12 PM,11:15 PM,"O,J,JP",Puma,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2025,6/30/2025,TBS,Puma-Puma Plot,PUPL-01,8:12 PM,11:15 PM,"O,J,JP",Puma Plot,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2025,6/30/2025,TBS,Puma-Puma Plot,PUPL-04,8:12 PM,11:15 PM,"O,J,JP",Puma Plot,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2025,6/30/2025,TBS,Puma-Puma Plot,PUPL-07,8:12 PM,11:15 PM,"O,J,JP",Puma Plot,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2025,6/30/2025,TBS,Puma-Puma Plot,PUPL-05,8:12 PM,11:15 PM,"O,J,JP",Puma Plot,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2025,6/30/2025,TBS,Puma-Puma Plot,PUPL-06,8:12 PM,11:15 PM,"O,J,JP",Puma Plot,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2025,6/30/2025,TBS,Puma-Puma Plot,PUPL-10,8:12 PM,11:15 PM,"O,J,JP",Puma Plot,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/30/2025,6/30/2025,TBS,Puma-Puma Plot,PUPL-12,8:12 PM,11:15 PM,"O,J,JP",Puma Plot,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/29/2025,6/29/2025,TBS,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,MAPO-01,8:08 PM,11:03 PM,"O,J,JP",Matapalo,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/29/2025,6/29/2025,TBS,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,MANU-01,8:08 PM,11:03 PM,"O,J,JP",Numa/Matapalo Connector,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/29/2025,6/29/2025,TBS,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,CHIO-03,8:08 PM,11:03 PM,"O,J,JP",Chichico,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/29/2025,6/29/2025,TBS,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,CHIO-02,8:08 PM,11:03 PM,"O,J,JP",Chichico,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/29/2025,6/29/2025,TBS,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,CHIO-01,8:08 PM,11:03 PM,"O,J,JP",Chichico,609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/29/2025,6/29/2025,TBS,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,NUMA-01,8:08 PM,11:03 PM,"O,J,JP",Numa,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/28/2025,6/28/2025,TBS,Guacamayo-Puma-Harpia-Chorongo,GUAC-03,8:17 PM,10:36 PM,"O,J,JP",Guacamayo,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/28/2025,6/28/2025,TBS,Guacamayo-Puma-Harpia-Chorongo,PUMA-02,8:17 PM,10:36 PM,"O,J,JP",Puma,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/28/2025,6/28/2025,TBS,Guacamayo-Puma-Harpia-Chorongo,HARP-05,8:17 PM,10:36 PM,"O,J,JP",Harpia,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2025,6/27/2025,TBS,Guacamayo-Danta-Lago,GUAC-01,8:10 PM,10:04 PM,"O,J,JP",Guacamayo,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2025,6/27/2025,TBS,Guacamayo-Danta-Lago,GUAC-02,8:10 PM,10:04 PM,"O,J,JP",Guacamayo,301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/27/2025,6/27/2025,TBS,Guacamayo-Danta-Lago,DANT-01,8:10 PM,10:04 PM,"O,J,JP",Danta,591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,MAPO-01,8:01 PM,10:51 PM,"O,J,JP",Matapalo,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,MAPO-02,8:01 PM,10:51 PM,"O,J,JP",Matapalo,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,MAPO-03,8:01 PM,10:51 PM,"O,J,JP",Matapalo,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,MURC-01,8:01 PM,10:51 PM,"O,J,JP",Murcielago,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,MURC-02,8:01 PM,10:51 PM,"O,J,JP",Murcielago,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,PUEN-01,8:01 PM,10:51 PM,"O,J,JP",Puentes,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,MAPO-04,8:01 PM,10:51 PM,"O,J,JP",Matapalo,387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,MAPO-05,8:01 PM,10:51 PM,"O,J,JP",Matapalo,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,MAPO-06,8:01 PM,10:51 PM,"O,J,JP",Matapalo,359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,CHIO-03,8:01 PM,10:51 PM,"O,J,JP",Chichico,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/26/2025,6/26/2025,TBS,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,NUMA-02,8:01 PM,10:51 PM,"O,J,JP",Numa,268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/25/2025,6/25/2025,TBS,Harpia Plot-Harpia,HARP-01,8:00 PM,10:22 PM,"O,J,JP",Harpia,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2025,6/23/2025,TBS,Puma-Puma Plot,PUMA-01,8:12 PM,11:04 PM,"O,J,JP",Puma,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2025,6/23/2025,TBS,Puma-Puma Plot,PUPL-01,8:12 PM,11:04 PM,"O,J,JP",Puma Plot,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2025,6/23/2025,TBS,Puma-Puma Plot,PUPL-02,8:12 PM,11:04 PM,"O,J,JP",Puma Plot,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2025,6/23/2025,TBS,Puma-Puma Plot,PUPL-03,8:12 PM,11:04 PM,"O,J,JP",Puma Plot,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2025,6/23/2025,TBS,Puma-Puma Plot,PUPL-04,8:12 PM,11:04 PM,"O,J,JP",Puma Plot,411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2025,6/23/2025,TBS,Puma-Puma Plot,PUPL-07,8:12 PM,11:04 PM,"O,J,JP",Puma Plot,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2025,6/23/2025,TBS,Puma-Puma Plot,PUPL-05,8:12 PM,11:04 PM,"O,J,JP",Puma Plot,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/23/2025,6/23/2025,TBS,Puma-Puma Plot,PUPL-08,8:12 PM,11:04 PM,"O,J,JP",Puma Plot,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/20/2025,6/20/2025,TBS,Guacamayo-Puma-Harpia-Chorongo,GUAC-03,8:23 PM,11:07 PM,"O,J,JP",Guacamayo,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/20/2025,6/20/2025,TBS,Guacamayo-Puma-Harpia-Chorongo,HARP-05,8:23 PM,11:07 PM,"O,J,JP",Harpia,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/18/2025,6/18/2025,YRS,Mirador,MIRA-04,8:47 PM,10:56 PM,"O,J,Vicente,Nora,Dillon,Peter",Mirador,760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/18/2025,6/18/2025,YRS,Mirador,MIRA-03,8:47 PM,10:56 PM,"O,J,Vicente,Nora,Dillon,Peter",Mirador,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/18/2025,6/18/2025,YRS,Mirador,MIRA-02,8:47 PM,10:56 PM,"O,J,Vicente,Nora,Dillon,Peter",Mirador,592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/18/2025,6/18/2025,YRS,Mirador,MIRA-01,8:47 PM,10:56 PM,"O,J,Vicente,Nora,Dillon,Peter",Mirador,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/17/2025,6/17/2025,YRS,Forest Plot Perimeter,FPPE-03,8:17 PM,11:35 PM,"O,J",Forest Plot Perimeter,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/17/2025,6/17/2025,YRS,Forest Plot Perimeter,FPPE-04,8:17 PM,11:35 PM,"O,J",Forest Plot Perimeter,662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/17/2025,6/17/2025,YRS,Forest Plot Perimeter,FPPE-05,8:17 PM,11:35 PM,"O,J",Forest Plot Perimeter,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/17/2025,6/17/2025,YRS,Forest Plot Perimeter,FPPE-02,8:17 PM,11:35 PM,"O,J",Forest Plot Perimeter,2520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/15/2025,6/15/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,FPPE-06,8:34 PM,11:24 PM,"O,J,Tristan,Fenton,Nora",Forest Plot Perimeter,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/15/2025,6/15/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,FPPE-03,8:34 PM,11:24 PM,"O,J,Tristan,Fenton,Nora",Forest Plot Perimeter,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/15/2025,6/15/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,FPPE-05,8:34 PM,11:24 PM,"O,J,Tristan,Fenton,Nora",Forest Plot Perimeter,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/15/2025,6/15/2025,YRS,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,FPPE-01,8:34 PM,11:24 PM,"O,J,Tristan,Fenton,Nora",Forest Plot Perimeter,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,BOTA-01,8:04 PM,10:40 PM,"O,J",Botanico,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,TINA-01,8:04 PM,10:40 PM,"O,J",Tinamou,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,TINA-02,8:04 PM,10:40 PM,"O,J",Tinamou,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,NAPO-02,8:04 PM,10:40 PM,"O,J",Napo,419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,NAPO-03,8:04 PM,10:40 PM,"O,J",Napo,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,BARI-02,8:04 PM,10:40 PM,"O,J",Bariso,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,TIMA-01,8:04 PM,10:40 PM,"O,J",Timatai,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,NAPO-01,8:04 PM,10:40 PM,"O,J",Napo,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,PANT-01,8:04 PM,10:40 PM,"O,J",Pantano,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,BOTA-03,8:04 PM,10:40 PM,"O,J",Botanico,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,BOTA-02,8:04 PM,10:40 PM,"O,J",Botanico,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/14/2025,6/14/2025,YRS,Botanico-Tinamou-Napo-Bariso-Timatai-Napo-Pantano-Botanico-Gran Ficus,GRFI-01,8:04 PM,10:40 PM,"O,J",Gran Ficus,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
