"Station","Start_Date","Number_of_Small_Mammals_Spotted","Parent_Trail_LongName","Meters","Effort_hrs","smammals.hr","smamm.500m"
"TBS",2025-06-06,1,"Matapalo-Murcielago-Puentes-Matapalo-Chichico-Numa",2305,2.2,0.454545454545455,0.216919739696312
"TBS",2025-06-04,2,"Anaconda-Lago",1838,1.86666666666667,1.07142857142857,0.544069640914037
"TBS",2025-06-03,1,"Numa-Chichico",1960,1.88333333333333,0.530973451327434,0.255102040816327
"YRS",2024-08-01,5,"Tinamou-Napo-Pantano-Botanico-Gran Ficus",1646,1.96666666666667,2.54237288135593,1.51883353584447
"YRS",2024-07-31,5,"Torre-Forest Plot North Edge-Forest Plot Interior",2110,3,1.66666666666667,1.18483412322275
"YRS",2024-07-29,6,"Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico",2501,2.25,2.66666666666667,1.19952019192323
"YRS",2024-07-28,7,"Peru-Ceiba",2213,2.93333333333333,2.38636363636364,1.58156348847718
"YRS",2024-07-26,7,"Gawape-Garza-Tucan-Napo-Kinkajou-Chorongo-Tucan-Gawape",3332,2.76666666666667,2.53012048192771,1.05042016806723
"YRS",2024-07-25,10,"Forest Plot North Edge-Forest Plot Interior-Forest Plot North Edge-Torre",2572,2.03333333333333,4.91803278688525,1.94401244167963
"YRS",2024-07-23,6,"Tinamou-Napo-Pantano-Botanico-Gran Ficus",1646,2.1,2.85714285714286,1.82260024301337
"TBS",2024-07-20,2,"Puma-Puma Plot",3217,2.83333333333333,0.705882352941176,0.310848616723656
"TBS",2024-07-18,2,"Harpia Plot-Harpia-Matapalo",2926,2.51666666666667,0.794701986754967,0.341763499658237
"TBS",2024-07-17,0,"Puma-Puma Plot",2772,2.76666666666667,0,0
"TBS",2024-07-15,4,"Anaconda-Lago",1838,3,1.33333333333333,1.08813928182807
"TBS",2024-07-14,1,"Harpia Plot-Harpia",2703,3,0.333333333333333,0.184979652238254
"TBS",2024-07-11,4,"Guacamayo-Puma-Harpia-Chorongo-Guacamayo",2638,2.75,1.45454545454545,0.758150113722517
"TBS",2024-07-10,5,"Guacamayo-Danta-Lago",1841,2.71666666666667,1.84049079754601,1.35795763172189
"TBS",2024-07-08,0,"Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa",2790,2.81666666666667,0,0
"YRS",2024-07-06,3,"Forest Plot Perimeter",3561,2.86666666666667,1.04651162790698,0.4212299915754
"YRS",2024-07-04,5,"Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico",2501,2.66666666666667,1.875,0.999600159936026
"YRS",2024-07-03,3,"Ceiba-Peru",2213,2.46666666666667,1.21621621621622,0.677812923633077
"YRS",2024-07-02,8,"Forest Plot Perimeter",3561,3,2.66666666666667,1.1232799775344
"YRS",2024-06-29,7,"Gawape-Chorongo-Kinkajou-Napo-Tucan-Garza",3332,3.1,2.25806451612903,1.05042016806723
"YRS",2024-06-27,2,"Chorongo-Kinkajou-Napo-Bariso-Tinamou-Botanico",2501,2.73333333333333,0.731707317073171,0.39984006397441
"TBS",2024-06-23,1,"Matapalo-Murcielago-Puentes-Murcielago Pond-Puentes-Murcielago-Matapalo",1956,2.6,0.384615384615385,0.255623721881391
"TBS",2024-06-22,2,"Anaconda-Lago",2557,2.38333333333333,0.839160839160839,0.391083300743058
"TBS",2024-06-21,1,"Matapalo-Harpia",706,1.41666666666667,0.705882352941176,0.708215297450425
"TBS",2024-06-19,2,"Guacamayo-Puma-Harpia-Chorongo-Guacamayo",2868,2.86666666666667,0.697674418604651,0.348675034867503
"TBS",2024-06-17,1,"Matapalo-Murcielago-Matapalo-Chichico-Numa-Matapalo",2600,3.01666666666667,0.331491712707182,0.192307692307692
"TBS",2024-06-13,0,"Guacamayo-Danta-Lago",1841,2.91666666666667,0,0
"TBS",2024-06-11,2,"Numa-Chichico-Matapalo-Chichico-Numa",2648,2.98333333333333,0.670391061452514,0.377643504531722
