Date,Station,Survey_Type,Trail_Walked,Segment,Surveyors,Survey_Start_Time,Survey_End_Time,Gross_ID,Snake_ID,Family,Species,Common_Name,Time_Found_,GPS_Coordinates,Observor,Temperature_at_Time_of_Detection,Humidity_at_Time_of_Detection,Distance_From_Trail_m,Height_of_Individual,Habitat_Type,Time_Window_of_Last_Rain_Event_h,Weather,Wind,Diet_Type,Primary_Diet_Component,Size,Notes
6/15/25,YRS,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,TORR-01,"O,J,Tristan,Fenton,Nora",8:34 PM,11:24 PM,Snake,SK65,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:53 PM,S 00º40.8292' W 076º23.1092',Owen,77.2,94.4,0.5,U,Terrafirme,6,cloudy,no wind,no mammals,lizards,M,
6/15/25,YRS,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,TORR-01,"O,J,Tristan,Fenton,Nora",8:34 PM,11:24 PM,Snake,SK66,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:53 PM,S 00º40.8273' W 076º23.1077',Owen,77.2,94.4,0.5,U,Terrafirme,6,cloudy,no wind,no mammals,lizards,M,
6/15/25,YRS,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,FPIN-01,"O,J,Tristan,Fenton,Nora",8:34 PM,11:24 PM,Snake,SK67,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:56 PM,S 00º40.8953' W 076º23.8034',Owen,76.2,96.2,2,U,Terrafirme,6,cloudy,no wind,no mammals,lizards,M,
6/17/25,YRS,Night,Forest Plot Perimeter,,"O,J",8:17 PM,11:35 PM,,,,,,,,,,,,,,6,partly cloudy,no wind,,,,no snakes
6/18/25,YRS,Night,Mirador,,"O,J,Vicente,Nora,Dillon,Peter",8:47 PM,10:56 PM,,,,,,,,,,,,,,24,partly cloudy,no wind,,,,no snakes
6/20/25,TBS,Night,Guacamayo-Puma-Harpia-Chorongo,PUMA-01,"O,J,JP",8:23 PM,11:07 PM,Snake,SK68,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:56 PM,S 00º37.9913' W 076º09.3222',Owen,79.1,83.7,0.7,U,Terrafirme,6,cloudy,no wind,no mammals,lizards,S,
6/20/25,TBS,Night,Guacamayo-Puma-Harpia-Chorongo,PUMA-02,"O,J,JP",8:23 PM,11:07 PM,Snake,SK69,Colubridae,Chironius multiventris,South American Sipo,9:33 PM,S 00º37.7582' W 076º09.4124',Jacob,77.4,88.1,5,U,Terrafirme,6,cloudy,no wind,no mammals,frogs,S,
6/20/25,TBS,Night,Guacamayo-Puma-Harpia-Chorongo,TCHO-01,"O,J,JP",8:23 PM,11:07 PM,Snake,SK70,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:44 PM,S 00º37.9456' W 076º09.0197',Owen,80.1,85.3,0.6,U,Terrafirme,0,rain,felt on face,no mammals,lizards,M,
6/21/25,TBS,Night,Parahuaco,PARA-01,"O,J,JP",8:43 PM,11:53 PM,Snake,SK71,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,11:27 PM,S 00º38.7910' W 076º08.5087',Owen,74.5,94.6,4.5,U,Varzea,24,clear,no wind,no mammals,lizards,M,
6/23/25,TBS,Night,Puma-Puma Plot,PUPL-06,"O,J,JP",8:12 PM,11:04 PM,Snake,SK72,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:58 PM,S 00º37.4050' W 076º09.4948',Juan Pablo,83,82.4,1.4,U,Varzea,12,partly cloudy,no wind,no mammals,lizards,S,
6/25/25,TBS,Night,Harpia Plot-Harpia,HAPL-01,"O,J,JP",8:00 PM,10:22 PM,Snake,SK73,Colubridae,Helicops angulatus ,Brown-banded Watersnake,9:39 PM,S 00º37.9934' W 076º08.5675' ,Owen,75.5,96.3,0,G,Varzea,6,cloudy,no wind,no mammals,fish,XS,
6/26/25,TBS,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,MUPO-01,"O,J,JP",8:01 PM,10:51 PM,Snake,SK74,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:19 PM,S 00º38.2922' W 076º08.5955',Owen,76,92.4,3.6,U,Varzea,30,cloudy,no wind,no mammals,lizards,M,
6/26/25,TBS,Night,Matapalo-Murcielago-Puentes-Murcielago Pond-Matapalo-Chichico-Numa,MUPO-01,"O,J,JP",8:01 PM,10:51 PM,Snake,SK75,Colubridae,Siphlophis cervinus,Panama Spotted Nightsnake,9:21 PM,S 00º38.3023' W 076º08.6042' ,Jacob,76,92.4,2.6,U,Varzea,30,cloudy,no wind,no mammals,lizards,S,
6/27/25,TBS,Night,Guacamayo-Danta-Lago,LAGO-01,"O,J,JP",8:10 PM,10:04 PM,Snake,SK76,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:39 PM,S 00º38.3702' W 076º09.1760' ,Jacob,79.9,87.6,4.5,U,Varzea,0,rain,no wind,no mammals,lizards,S,
6/28/25,TBS,Night,Guacamayo-Puma-Harpia-Chorongo,PUMA-01,"O,J,JP",8:17 PM,10:36 PM,Snake,SK77,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:43 PM,S 00º38.0190' W 076º09.3214' ,Owen,74.2,95.1,1.6,U,Terrafirme,6,clear,no wind,no mammals,lizards,M,
6/28/25,TBS,Night,Guacamayo-Puma-Harpia-Chorongo,TCHO-01,"O,J,JP",8:17 PM,10:36 PM,Snake,SK78,Elapidae,Micrurus helleri,Western Ribbon Coralsnake,10:33 PM,S 00º38.1232' W 076º09.0863' ,Owen,75.4,95,3.8,G,Terrafirme,6,clear,no wind,no mammals,snakes,M,
6/29/25,TBS,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,MAPO-02,"O,J,JP",8:08 PM,11:03 PM,Snake,SK79,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:15 PM,S 00º38.2085' W 076º08.8991' ,Owen,76.6,96.8,2,U,Terrafirme,6,cloudy,no wind,no mammals,lizards,M,
6/29/25,TBS,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,NUMA-02,"O,J,JP",8:08 PM,11:03 PM,Snake,SK80,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:42 PM,S 00º38.3188' W 076º08.9059' ,Owen,75.7,93.4,2.4,U,Varzea,6,cloudy,no wind,no mammals,lizards,M,
6/29/25,TBS,Night,Matapalo-Numa/Matapalo Connector-Numa-Chichico-Matapalo-Numa,MAPO-06,"O,J,JP",8:08 PM,11:03 PM,Snake,SK81,Colubridae,Chironius fuscus,Brown Sipo,10:44 PM,S 00º38.4088' W 076º08.9141' ,Owen,74.8,96.9,2.2,U,Terrafirme,6,cloudy,no wind,mixed,frogs,S,
6/30/25,TBS,Night,Puma-Puma Plot,PUPL-02,"O,J,JP",8:12 PM,11:15 PM,Snake,SK82,Boidae,Corallus hortulanus,Amazon Tree Boa,9:21 PM,S 00º37.4896' W 076º09.4514' ,Owen,79.3,92.5,2.8,U,Terrafirme,6,cloudy,no wind,mostly mammals,mammals,M,
7/1/25,TBS,Night,Harpia Plot-Harpia,,"O,J,JP",8:48 PM,11:22 PM,,,,,,,,,,,,,,0,rain,no wind,,,,no snakes
7/2/25,TBS,Night,Anaconda-Lago,ANAC-01,"O,J,JP",8:06 PM,10:53 PM,Snake,SK83,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,8:25 PM,S 00º38.1562' W 076º09.8644' ,Owen,73.2,93.2,5.2,U,Varzea,6,cloudy,no wind,no mammals,lizards,S,
7/4/25,YRS,Night,Forest Plot Perimeter,FPPE-04,"O,J,JP",8:21 PM,11:39 PM,Snake,SK84,Boidae,Corallus hortulanus,Amazon Tree Boa,8:32 PM,S 00º40.8562' W 076º23.8409',Owen,74.2,95,8.5,C,Terrafirme,18,cloudy,no wind,mostly mammals,mammals,M,
7/4/25,YRS,Night,Forest Plot Perimeter,FPPE-05,"O,J,JP",8:21 PM,11:39 PM,Snake,SK85,Colubridae,Xenoxybelis argenteus,Striped Sharpnose Snake,9:14 PM,S 00º40.8636' W 076º24.2133',Owen,72,95.9,1.5,U,Terrafirme,18,cloudy,no wind,no mammals,lizards,M,
7/5/25,YRS,Night,Coca-Ceiba-Peru-Tiputini-Peru,COCA-01,"O,J,JP",8:26 PM,11:30 PM,Snake,SK86,Colubridae,Chironius multiventris,South American Sipo,8:38 PM,S 00º40.6308' W 076º23.7853',Juan Pablo,76.8,91.3,2.3,U,Terrafirme,42,clear,no wind,no mammals,frogs,S,
7/5/25,YRS,Night,Coca-Ceiba-Peru-Tiputini-Peru,COCA-01,"O,J,JP",8:26 PM,11:30 PM,Snake,SK87,Boidae,Corallus hortulanus,Amazon Tree Boa,8:38 PM,S 00º40.6340' W 076º23.7870',Jacob,76.8,91.3,11.5,C,Terrafirme,42,clear,no wind,mostly mammals,mammals,M,
7/5/25,YRS,Night,Coca-Ceiba-Peru-Tiputini-Peru,COCA-01,"O,J,JP",8:26 PM,11:30 PM,Snake,SK88,Colubridae,Oxyrhopus occipitalis,Yellow-headed Flame Snake,9:17 PM,S 00º40.7392' W 076º23.6501',Jacob,74.6,92.5,3.5,G,Terrafirme,42,clear,no wind,mixed,mixed,S,
7/5/25,YRS,Night,Coca-Ceiba-Peru-Tiputini-Peru,COCA-01,"O,J,JP",8:26 PM,11:30 PM,Snake,SK89,Boidae,Corallus hortulanus,Amazon Tree Boa,10:56 PM,S 00º40.3798' W 076º23.2548',Owen,75.6,93.3,4.4,U,Terrafirme,42,clear,no wind,mostly mammals,mammals,S,
7/6/25,YRS,Night,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,YCHO-01,"O,J,JP",8:13 PM,10:38 PM,Snake,SK90,Colubridae,Drepanoides anomalus,Black-collared Snake,9:03 PM,S 00º40.40.92' W 076º24.4429',Jacob,75,95.7,2.6,U,Terrafirme,66,partly cloudy,no wind,no mammals,eggs,S,no photo :(
7/6/25,YRS,Night,Chorongo-Kinkajou-Napo-Tucan-Garza-Napo,NAPO-05,"O,J,JP",8:13 PM,10:38 PM,Snake,SK91,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:38 PM,S 00º40.3033' W 076º24.2081',Owen,77.3,94,2.8,U,Terrafirme,66,partly cloudy,no wind,no mammals,lizards,M,
7/7/25,YRS,Night,Torre-Forest Plot Perimeter-Forest Plot Interior-Forest Plot Perimeter,FPIN-01,"O,J,JP",8:26 PM,11:02 PM,Snake,SK92,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:18 PM,S 00º40.9267' W 076º23.9998',Owen,74,94.8,3.5,U,Terrafirme,6,cloudy,felt on face,no mammals,lizards,M,
7/8/25,YRS,Night,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,PANT-01,"O,J,JP",8:18 PM,10:59 PM,Snake,SK93,Colubridae,Dipsas catesbyi,Catesby's Snail Eater,8:21 PM,S 00º40.6780' W 076º23.9675',Owen,75.5,96.8,0,U,Varzea,30,cloudy,no wind,no mammals,arthropods,S,
7/8/25,YRS,Night,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,TINA-02,"O,J,JP",8:18 PM,10:59 PM,Snake,SK94,Boidae,Corallus hortulanus,Amazon Tree Boa,9:49 PM,S 00º40.6399' W 076º24.0969',Owen,74.4,97.9,2.3,U,Terrafirme,30,cloudy,no wind,mostly mammals,mammals,M,
7/8/25,YRS,Night,Pantano-Napo-Bariso-Timatai-Tinamou-Botanico-Gran Ficus-Botanico,TINA-02,"O,J,JP",8:18 PM,10:59 PM,Snake,SK95,Colubridae,Xenoxybelis argenteus,Striped Sharpnose Snake,10:08 PM,S 00º40.5641' W 076º23.9839',Owen,76.9,93.9,1.7,U,Terrafirme,30,cloudy,no wind,no mammals,lizards,M,
7/9/25,YRS,Night,Coca-Ceiba,CEIB-02,"O,J",8:45 PM,9:34 PM,Snake,SK96,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:28 PM,S 00º40.6711' W 076º23.6097',Owen,71.8,96.8,0.2,U,Terrafirme,6,cloudy,no wind,no mammals,lizards,M,
7/11/25,YRS,Night,Gawape-Chorongo-Kinkajou,,"O,J,JP",8:14 PM,10:40 PM,,,,,,,,,,,,,,12,cloudy,no wind,,,,no snakes
7/13/25,YRS,Night,Botanico-Tinamou-Napo-Timatai-Bariso,,"O,J,JP,Dillon",8:51 PM,10:41 PM,,,,,,,,,,,,,,12,cloudy,no wind,,,,no snakes
7/14/25,YRS,Night,Mirador,MIRA-04,"O,J,JP",8:34 PM,10:56 PM,Snake,SK97,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:06 PM,S 00º40.5160' W 076º23.1245',Owen,76.1,97.5,3.8,U,Varzea,24,cloudy,no wind,no mammals,lizards,M,
7/14/25,YRS,Night,Mirador,MIRA-01,"O,J,JP",8:34 PM,10:56 PM,Snake,SK98,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,10:53 PM,S 00º40.4650' W 076º23.7655',Owen,76.3,97.7,2.5,U,Varzea,24,cloudy,no wind,no mammals,lizards,M,
7/15/25,YRS,Night,Chorongo-Kinkajou-Napo,,"O,J,JP,Nora",8:30 PM,10:12 PM,,,,,,,,,,,,,,48,clear,no wind,,,,no snakes
7/16/25,YRS,Night,Coca-Ceiba-Peru-Renacuajo-Mirador,RENA-01,"O,J,JP",8:21 PM,10:24 PM,Snake,SK99,Colubridae,Imantodes cenchoa,Common Blunt-headed Tree Snake,9:45 PM,S 00º40.5329' W 076º23.5630',Juan Pablo,74.3,97.8,3,U,Terrafirme,6,cloudy,no wind,no mammals,lizards,M,
